isolats	pH:0h	pH:6h	pH:24h	pH:48h	DegreD:0h	DegreD:6h	DegreD:24h	DegreD:48h	Diacetyl production	proteolytic activity	exo-polysaccharid production
A_prim_3	6.3	6	5.9	5.6	23	28	30	32	0	25	0
A_prim_4	6.5	4.5	3.5	2.9	29	60	95	135	0	27	0
A_prim_5	6.4	5.3	4.2	3.4	23	45	70	95	0	25	0
A_prim_6	6.3	5.4	4.2	3.2	24	42	75	90	0	30	0
A_prim_7	6.3	5.2	4.2	3.1	25	39	62	85	0	25	0
A_prim_8	6.4	5.3	4.3	3.3	26	41	69	89	0	25	0
A_prim_9	6.2	5.4	4.5	3.2	25	48	70	90	0	16	0
A_prim_10	6.1	5.1	4.1	3.01	24	50	87	95	0	15	0
A_prim_11	6.1	5.2	4.3	3.3	24	50	89	98	0	NA	NA
A_prim_12	6.1	5.9	4.4	3	21	60	85	110	0	12.5	0
A_prim_13	6.3	5.9	5.8	5.7	22	28	35	37	0	14	0
A_prim_14	6.2	5.8	5.6	5.5	22	29	37	40	0	20	0
Bn1	6.1	5.4	4	3.3	23	45	90	110	0	26	2
Bn2	6.1	4.6	3	2.7	24	60	180	200	0	24	0
Bn3	6	4.7	3.5	2.8	22	68	130	170	0	30	0
Bn4	6.2	5.2	4.1	3.7	22	40	77	90	2	25	0
Bn5	6.1	4.6	3.4	2.9	22	60	140	160	0	23	0
Bn6	6.1	4.8	3.8	3.01	23	61	100	130	0	20	0
Bn7	6.2	4.8	3.8	3.1	23	61	100	145	2	30	0
Bn8	6.1	4.8	3.9	3.2	22	54	90	134	0	22	0
Bn9	6	5.1	4	3.1	22	47	80	110	0	30	0
Bn10	6.1	5.5	4.8	3.9	22	45	65	90	2	26	0
Bn11	6.1	5.4	4.2	3.6	22	42	50	80	0	24	0
Bn12	6	5.4	4.1	3.2	22	45	95	125	0	30	2
Bn13	6.2	5.7	4.5	3.7	24	45	75	NA	0	26	0
Gh1	6.1	5.1	4.3	3.6	23	40	70	97	0	25	0
Gh2	6.2	5.9	5.3	4.9	24	33	35	40	0	24	2
Gh3	6.2	5.8	5.1	4.9	23	33	36	38	0	25	0
Gh4	6.1	5.7	4.1	3.5	23	45	65	89	0	22	2
Gh5	6	5.8	5.4	5.1	24	30	32	35	0	30	2
Gh6	6.1	5.9	5.6	5.3	23	28	30	33	0	19	0
Gh7	6.2	5.9	5.5	5.03	23	29	32	36	0	20	0
Gh8	6.2	5.7	5.4	4.9	22	28	30	32	0	28	2
Gh9	6.1	5.6	5.3	5.1	24	29	33	35	0	30	0
Gh10	6	5.8	5.5	5.2	23	30	32	38	0	30	0
Gh11	6.1	5.6	5.2	4.8	22	27	31	36	0	25	0
Gh12	6.1	5.6	5.3	5.1	24	32	36	40	0	33	2
OS1	6.2	5.1	4.3	3.6	24	36	89	100	0	20	2
OS2	6.2	5.2	4.2	3.5	22	35	70	90	0	20	0
OS3	6.3	5.1	4.3	3.4	23	39	79	94	2	22	2
OS4	6.3	5.2	4.1	3.3	24	36	78	90	0	20	0
OS5	6.3	5.9	5.2	4.9	22	26	29	32	0	16	0
OS6	6.2	5.8	5.3	5.01	21	25	29	32	2	20	0
OS7	6.3	5.9	5.7	5.1	20	28	33	36	2	22	2
OS8	6.3	5.7	5.2	4.9	19	25	30	32	0	20	0
OS9	6.3	5.7	5.2	5	21	25	28	30	0	20	0
LB1	6.1	5.6	4.4	NA	25	32	65	NA	2	20	2
LB2	6.3	5.7	4.8	NA	20	33	60	NA	2	17	0
LB3	6.2	5.6	4.9	NA	20	32	60	NA	0	17	2
LB4	6.2	5.8	4.9	NA	20	31	59	NA	2	27	0
LB5	6.2	5.6	4.8	NA	20	31	60	NA	2	27	0
LB6	6.1	5.7	4.4	NA	23	32	66	NA	0	25	2
LB7	6.4	5.7	4.8	NA	20	33	60	NA	2	20	2
TiM1	6.1	5.3	4.2	3.5	25	38	73	90	0	34	2
TiM2	6.2	5.4	4.1	3.6	24	39	75	92	0	34	2
TiM3	6.4	5.2	4.6	3.7	20	41	81	100	0	40	2
TiM4	6.3	5.5	4.3	3.5	19	36	55	78	0	28	0
TiM5	6.3	5.7	4.6	4	25	42	70	90	0	35	0
TiM6	6.2	5.4	4.1	3.3	25	38	73	83	0	40	0
TiM7	6.4	5.4	4	3.1	20	30	67	80	2	20	0
TiM8	6.1	5.1	4.5	3.8	25	37	73	96	0	21	2
TiM9	6.1	5.3	4.1	3.4	26	35	80	102	0	22	0
AO1	6.6	5.9	5.4	4.9	18	28	30	36	2	26	0
AO2	6.4	5.8	5.5	5	21	29	34	38	2	20	2
AO3	6.4	5.8	5.6	5.1	20	28	33	38	0	27	0
AO4	6.3	5.9	5.4	4	19	28	33	39	2	29	0
AO5	6.4	6	5.6	5.1	20	24	30	37	0	30	0
AO6	6.1	5.6	5.2	4.8	23	28	35	40	0	23	2
GAR1	6.4	5.8	5.4	5.1	19	29	35	40	0	24	0
GAR2	6.3	6.1	5.7	5.2	20	24	31	37	2	22	0
GAR3	6.4	6	5.6	5.1	19	25	32	38	0	25	2
GAR4	6.3	5.9	5.2	4.8	19	25	33	39	0	29	0
AO7	6.2	5.8	5.2	4.9	22	29	35	40	2	28	0
WH2	6.4	5.9	5.3	4.9	20	27	33	39	0	18	0
WH3	6.3	5.9	5.2	4.8	18	26	34	39	2	20	2
O_prim_1	6.1	5.9	5.7	4.9	24	29	45	48	2	35	2
O_prim_2	6.2	5.5	5.1	4.8	23	30	38	42	2	45	2
O_prim_3	6.3	5.8	5.4	4.8	22	35	38	40	2	33	2
O_prim_4	6.1	5.7	5.4	5.01	24	30	40	45	0	45	0
O_prim_5	6.2	5.1	4.1	3.6	24	39	75	89	1	36	0
O_prim_6	6.5	5.7	5.4	5.1	20	34	38	40	2	35	0
O_prim_7	6.4	5.4	4.7	3.8	20	32	70	90	2	33	0
O_prim_8	6.1	5.5	4.5	3.7	24	32	50	87	2	33	0
O_prim_9	6.2	5.6	4.6	3.9	24	30	40	70	0	43	0
O_prim_10	6.1	5.7	4.7	4.06	25	37	50	95	2	42	0
O_prim_11	6.1	5.8	5.4	4.9	23	30	38	40	0	20	0
O_prim_12	6.3	6	5.5	4.9	22	23	30	36	0	20	0
O_prim_13	6.2	6.1	5.8	5.16	22	24	32	41	0	26	0
O_prim_14	6.4	6.3	5.7	5.1	21	39	58	88	0	40	0
O_prim_15	6.4	5.8	5.3	4.9	20	25	31	37	0	35	0
O_prim_16	6.2	5.3	4.2	3.4	23	40	89	100	2	36	2
O_prim_17	6.3	5.8	5.3	4.8	20	24	30	39	3	33	2
O_prim_18	6.4	5.9	5.4	4.9	19	22	35	40	2	25	2
O_prim_19	6.5	5.7	4.8	4.1	18	39	69	81	0	30	0
DA1	6.1	5.4	4.7	3.9	24	39	49	70	0	23	NA
DA2	6.2	5.3	4.3	3.6	23	35	43	68	0	22	NA
C1	6.3	5.5	4.7	4.1	24	37	56	82	0	26	0
C2	6.1	5.6	4.3	3.6	23	35	49	78	0	28	2
M7	6.2	5.7	4.4	3.7	22	30	53	75	0	26	0
M3	6.5	5.8	4.5	3.9	24	32	59	80	2	25	0
BY1	6.4	5.9	4.6	4	24	32	59	80	0	30	0
BY6	6.1	5.6	4.3	3.7	20	33	62	87	0	20	0
BB4	6.2	5.3	4.6	4.06	20	36	70	90	0	18	0
BB6	6.1	5.6	4.3	3.9	24	38	75	97	2	20	0
SB4	6.1	5.7	4.5	3.6	24	33	52	75	0	22	0
BB1	6.2	5.9	5.1	4.8	25	28	34	40	0	34	0
